# Created by Graham Nelson-Zutter. ©2026 Aestra Inc. except when external source noted. CC BY-NC-ND 4.0
"start","end","text"
"70260","70440"," your"
"70440","70700"," spinal"
"70700","71180"," column"
"74100","74450"," with"
"74450","74730"," very"
"74730","75030"," little"
"75030","75610"," strain"
"75610","76050"," on"
"76050","77030"," your"
"77030","77370"," neck."
"81820","82500"," You"
"82500","82700"," may"
"82700","83160"," also"
"83160","84260"," have"
"84260","84440"," a"
"84440","84860"," position"
"84860","85940"," where"
"85940","86100"," you"
"86100","86260"," are"
"86260","86620"," resting"
"86620","86920"," your"
"86920","87280"," head"
"87890","88240"," or"
"88240","88480"," leaning"
"88480","88760"," your"
"88760","89060"," head,"
"90580","91340"," just"
"91340","91660"," taking"
"91660","91860"," a"
"91860","92080"," moment"
"92080","92340"," to"
"92340","92720"," see"
"92720","94520"," if"
"94520","94720"," there's"
"94720","94840"," an"
"94840","95380"," opportunity"
"96380","97080"," to"
"97080","97340"," find"
"97340","97540"," any"
"97540","97740"," more"
"97740","98140"," comfort. "
"100360","101040"," Perhaps"
"101040","102320"," there"
"102320","102500"," are"
"102500","102880"," pillows"
"102880","103360"," or"
"103360","103660"," some"
"103660","104040"," kinds"
"104040","104180"," of"
"104180","104660"," adjustments"
"104660","105520"," that"
"105520","106480"," you"
"106480","106680"," can"
"106680","107040"," make"
"107040","107320"," to"
"107320","107460"," get"
"107460","107680"," more"
"107680","108160"," comfortable."
"115720","115960"," I"
"115960","116200"," invite"
"116200","116440"," you"
"116440","116620"," to"
"116620","116900"," close"
"116900","117140"," your"
"117140","117600"," eyes"
"117600","118700"," and"
"120270","120450"," if"
"120450","120610"," at"
"120610","120830"," any"
"120830","121250"," point"
"121690","121990"," you"
"121990","122290"," find"
"122290","122450"," that"
"122450","122690"," that's"
"122690","123210"," uncomfortable"
"123210","123770"," or"
"123770","124090"," doesn't"
"124090","124290"," feel"
"124290","124850"," safe,"
"127479","128080"," that's"
"128080","128460"," okay."
"130750","131310"," If"
"131310","131510"," your"
"131510","131710"," eyes"
"131710","131890"," are"
"131890","132250"," open,"
"132350","132750"," perhaps"
"132750","133010"," you"
"133010","133190"," can"
"133190","133650"," find"
"133650","133870"," a"
"133870","134230"," place"
"134230","134470"," to"
"134470","134750"," rest"
"134750","134950"," your"
"134950","135470"," gaze,"
"138160","138520"," maybe"
"138520","138780"," at"
"138780","138920"," a"
"138920","139220"," pattern"
"139220","139440"," on"
"139440","139600"," the"
"139600","140020"," wall"
"141580","142180"," or"
"142180","142560"," someplace"
"142560","143060"," where"
"143060","143260"," there"
"143260","143740"," isn't"
"143740","144440"," distraction"
"144440","144800"," or"
"144800","145280"," movement. "
"151140","151280"," I"
"151280","151560"," invite"
"151560","151840"," you"
"151840","152140"," to"
"152140","152440"," take"
"152440","152600"," a"
"152600","152740"," few"
"152740","153460"," moments"
"154400","155020"," to"
"155020","155240"," get"
"155240","155580"," centered"
"155580","155800"," in"
"155800","155920"," your"
"155920","156420"," body,"
"159740","160480"," starting"
"160480","160880"," with"
"160880","161400"," the"
"161400","161740"," feeling"
"161740","162160"," of"
"162160","163600"," the"
"163600","164120"," ground"
"164120","164460"," beneath"
"164460","164720"," your"
"164720","165020"," feet,"
"165140","165380"," the"
"165380","165880"," floor"
"165880","167220"," beneath"
"167220","167520"," your"
"167520","167860"," feet,"
"172710","173590"," noticing"
"173590","174530"," the"
"174530","174970"," pressure,"
"177960","178200"," the"
"178200","178680"," texture."
"180700","181400"," If"
"181400","181900"," you're"
"181900","182660"," wearing"
"182660","183300"," footwear"
"183300","183580"," or"
"183580","184240"," socks"
"184240","185220"," or"
"187870","188350"," shoes"
"188350","188510"," of"
"188510","188730"," some"
"188730","189510"," kind"
"189510","190930"," or"
"190930","191150"," there's"
"191150","191290"," a"
"191290","191570"," carpet"
"191570","191890"," below"
"191890","192430"," you,"
"195670","196170"," just"
"196170","196670"," noticing"
"196670","198710"," the"
"198710","199390"," texture"
"200970","201770"," the"
"201770","202330"," softness"
"202330","202550"," or"
"202550","203210"," firmness"
"203210","205750"," between"
"205750","206370"," you"
"206370","208070"," and"
"208070","208210"," the"
"208210","208510"," floor,"
"215190","215930"," taking"
"215930","216130"," a"
"216130","216330"," moment"
"216330","216610"," to"
"216610","217110"," notice"
"217110","217490"," this"
"217490","217890"," physical"
"217890","218610"," support"
"218610","219410"," from"
"219410","220030"," under"
"220030","220250"," your"
"220250","220650"," feet,"
"221570","222690"," under"
"222690","222890"," your"
"222890","223390"," legs."
"227260","227600"," Just"
"227600","227860"," taking"
"227860","228040"," a"
"228040","228280"," moment"
"228280","229040"," to"
"229040","229320"," shift"
"229320","229540"," your"
"229540","230000"," awareness"
"230000","230800"," towards"
"230800","231480"," your"
"231480","232120"," knees"
"232120","232460"," and"
"232460","232640"," your"
"232640","233280"," hamstrings,"
"235900","236320"," starting"
"236320","236600"," to"
"236600","237040"," feel"
"237040","238300"," the"
"240000","240400"," support"
"240400","240800"," from"
"240800","241080"," under"
"241080","241300"," your"
"241300","241560"," upper"
"241560","242240"," legs,"
"245310","246110"," noticing"
"246110","246610"," the"
"246610","246990"," shift"
"246990","247510"," and"
"247510","247910"," pressure"
"247910","248770"," between"
"248770","249610"," the"
"249610","249790"," backs"
"249790","249910"," of"
"249910","250070"," your"
"250070","250630"," knees"
"252050","252850"," towards"
"252850","253350"," your"
"253350","253610"," hips"
"253610","253870"," and"
"253870","254390"," glutes"
"254390","255450"," and"
"255450","255670"," sitting"
"255670","256290"," bones,"
"259660","260399"," taking"
"260399","260640"," a"
"260640","260920"," moment"
"260920","261220"," to"
"261220","261740"," notice"
"261740","262040"," the"
"262040","262660"," firmness"
"262660","262960"," and"
"263900","264700"," support"
"264700","265120"," under"
"265120","265380"," your"
"265380","265740"," torso,"
"271960","272380"," shifting"
"272380","272700"," your"
"272700","273080"," awareness"
"273080","273440"," to"
"273440","273620"," your"
"273620","273860"," lower"
"273860","274520"," back,"
"276610","277190"," starting"
"277190","277470"," to"
"277470","277810"," notice"
"277810","278070"," the"
"278070","278490"," support"
"278490","278970"," from"
"278970","280410"," behind"
"280410","280750"," you"
"280750","280990"," as"
"280990","281350"," well,"
"285540","285980"," traveling"
"286940","287380"," to"
"287380","287480"," your"
"287480","287720"," middle"
"287720","288220"," back"
"288220","288380"," and"
"288380","288600"," upper"
"288600","289120"," back,"
"289440","290780"," shoulders,"
"291420","293140"," noticing"
"293140","293580"," those"
"293580","293920"," places"
"293920","294160"," of"
"294160","294820"," contact"
"297340","298040"," with"
"298040","298220"," the"
"298220","298580"," support"
"298580","299040"," behind"
"299040","299420"," you"
"299420","300300"," and"
"311540","311820"," taking"
"311820","312040"," a"
"312040","312320"," moment"
"312320","312680"," to"
"312680","312940"," shift"
"312940","313160"," your"
"313160","313560"," awareness"
"313560","313940"," to"
"313940","314180"," your"
"314180","314600"," breathing"
"314600","315760"," without"
"318670","318970"," the"
"318970","319130"," need"
"319130","319330"," to"
"319330","319790"," change"
"319790","320010"," how"
"320010","320190"," you're"
"320190","320570"," breathing. "
"324020","324460"," When"
"324460","324640"," you"
"324640","325300"," inhale,"
"325820","326280"," perhaps"
"326280","326580"," you"
"326580","326920"," can"
"326920","327580"," feel"
"327580","329440"," the"
"329440","329920"," expansion"
"329920","330220"," and"
"330220","330560"," opening"
"330560","331000"," within"
"331000","331340"," your"
"331340","331800"," chest."
"337200","337800"," When"
"337800","338000"," you"
"338000","338540"," exhale,"
"338860","339280"," perhaps"
"339280","339500"," you"
"339500","339680"," can"
"339680","340200"," feel"
"340200","341320"," the"
"341320","341820"," sensations"
"341820","342340"," of"
"342340","342700"," rest"
"342700","342920"," and"
"342920","343400"," relaxation"
"345400","345840"," in"
"345840","345980"," your"
"345980","346480"," chest."
"352170","352610"," And"
"352610","352750"," when"
"352750","352910"," you"
"352910","353510"," inhale,"
"356570","357450"," noticing"
"357450","358330"," how"
"358330","358650"," you're"
"358650","358950"," bringing"
"358950","359650"," nourishment"
"359650","360010"," in"
"360010","360170"," the"
"360170","360390"," form"
"360390","360590"," of"
"360590","361030"," oxygen"
"361030","361490"," into"
"361490","361690"," your"
"361690","362170"," body,"
"365940","366720"," replenishing"
"366720","367260"," what"
"367260","367480"," your"
"367480","367800"," cells"
"367800","368440"," need,"
"370110","370370"," what"
"370370","370510"," they"
"370510","370930"," thrive"
"370930","371470"," on. "
"376070","376250"," And"
"376250","376430"," as"
"376430","376590"," you"
"376590","377190"," exhale,"
"378430","379250"," releasing"
"379250","379550"," the"
"379550","379790"," carbon"
"379790","380370"," dioxide"
"380370","380810"," that"
"380810","380970"," your"
"380970","381390"," body"
"381390","381730"," no"
"381730","382030"," longer"
"382030","382630"," needs."
"394380","394660"," Maybe"
"394660","395200"," noticing"
"395200","396900"," where"
"396900","398460"," your"
"398460","398820"," skin"
"398820","399440"," is"
"399440","399780"," exposed"
"399780","400000"," to"
"400000","400200"," the"
"400200","400560"," air,"
"402040","402480"," sticking"
"402480","402740"," in"
"402740","402880"," the"
"402880","403480"," experience"
"403480","404020"," of"
"404020","404380"," being"
"404380","404620"," in"
"404620","404960"," contact"
"404960","405480"," with"
"405480","405660"," the"
"405660","405960"," air,"
"409190","409430"," the"
"409430","409610"," very"
"409610","409990"," same"
"409990","410370"," air"
"410370","410690"," that"
"410690","411310"," holds"
"411310","411610"," this"
"411610","412190"," oxygen"
"412190","412670"," that"
"412670","413170"," you're"
"413170","415010"," inhaling"
"415010","416150"," and"
"418170","418330"," the"
"418330","418550"," carbon"
"418550","419050"," dioxide"
"419050","419450"," that"
"419450","419690"," you're"
"419690","420110"," releasing."
"424530","425050"," Perhaps"
"425050","425290"," you"
"425290","425630"," notice"
"425630","425910"," the"
"425910","426290"," temperature"
"426290","426610"," of"
"426610","426710"," the"
"426710","426910"," air"
"426910","427110"," on"
"427110","427270"," your"
"427270","427710"," skin,"
"435390","435710"," inviting"
"435710","436330"," you"
"436330","436750"," to"
"436750","437030"," also"
"437030","437510"," notice"
"437510","437690"," that"
"437690","437890"," you're"
"437890","438130"," wearing"
"438130","438670"," clothing,"
"440450","440710"," just"
"440710","441230"," noting"
"441230","442450"," those"
"442450","442890"," areas"
"442890","443230"," of"
"443230","443370"," your"
"443370","443730"," skin"
"443730","444470"," covered"
"444470","444750"," by"
"444750","445330"," clothes. "
"447190","447970"," Perhaps"
"447970","448750"," there's"
"448750","450210"," a"
"450210","450410"," light"
"450410","450790"," pressure"
"450790","451070"," from"
"451070","451250"," your"
"451250","452090"," clothes."
"453290","453870"," Maybe"
"453870","454210"," there's"
"454210","454350"," a"
"454350","454570"," shift"
"454570","454770"," in"
"454770","455230"," temperature."
"458940","459340"," Perhaps"
"459340","460320"," you"
"460320","460520"," can"
"460520","460800"," even"
"460800","461160"," feel"
"461160","461420"," the"
"461420","461760"," texture"
"461760","462280"," of"
"462280","462420"," the"
"462420","462820"," fabric. "
"474640","475220"," Noticing"
"475220","475800"," that"
"475800","476760"," both"
"476760","476980"," your"
"476980","477360"," skin"
"477360","477580"," and"
"477580","487600"," your"
"487600","487920"," outside"
"487920","488540"," world."
"494670","495350"," Taking"
"495350","495570"," a"
"495570","495830"," moment"
"495830","496110"," to"
"496110","496470"," realize"
"496470","496810"," there's"
"496810","497130"," nothing"
"497130","497510"," for"
"497510","497910"," you"
"497910","498270"," to"
"498270","498710"," do."
"502340","502700"," This"
"502700","503240"," boundary"
"504620","505300"," that"
"505300","505500"," your"
"505500","505860"," skin"
"505860","506080"," and"
"506080","506340"," clothing"
"506340","506880"," provides"
"506880","507020"," is"
"507020","507260"," just"
"507260","507640"," there. "
"511880","512159"," Maybe"
"512159","512620"," noticing"
"512620","513679"," that"
"513679","514159"," you've"
"514159","514500"," continued"
"514500","514780"," to"
"514780","515260"," breathe,"
"516860","517539"," even"
"517539","517840"," without"
"517840","518299"," the"
"518299","518520"," need"
"518520","518720"," to"
"518720","519020"," focus"
"519020","519240"," on"
"519240","519400"," your"
"519400","519740"," breath."
"522039","522280"," If"
"522280","522419"," you"
"522419","522760"," forget"
"522760","522980"," to"
"522980","523280"," breathe,"
"523480","523700"," that's"
"523700","524080"," okay."
"525160","525960"," Your"
"525960","526360"," body"
"526360","526780"," will"
"526780","527360"," continue"
"527360","527660"," to"
"527660","527900"," breathe"
"527900","528180"," for"
"528180","528520"," you. "
"535730","536250"," Noticing"
"536250","536470"," the"
"536470","537030"," support"
"537030","538030"," from"
"538030","538470"," behind"
"538470","538690"," and"
"538690","539150"," below."
"542440","542680"," They"
"542680","543180"," too"
"543180","544160"," do"
"544160","544360"," not"
"544360","544980"," require"
"544980","546320"," any"
"548270","548550"," kind"
"548550","548730"," of"
"548730","549130"," doing."
"549950","550210"," They're"
"550210","550390"," just"
"550390","550790"," there. "
"555340","555500"," Just"
"555500","555800"," taking"
"555800","556020"," a"
"556020","556300"," moment"
"556300","556680"," to"
"556680","557220"," realize"
"557220","557540"," that"
"557540","557900"," this"
"559280","560580"," protection,"
"561160","561280"," this"
"561280","561740"," openness"
"561740","562260"," and"
"562260","562680"," support"
"562680","562860"," are"
"562860","563080"," just"
"563080","563500"," here."
"573200","573420"," Maybe"
"573420","573740"," also"
"573740","574140"," taking"
"574140","574380"," a"
"574380","574680"," moment"
"574680","575800"," to"
"577500","578120"," notice"
"580590","580900"," what"
"580900","581120"," it's"
"581120","581320"," like"
"581320","581540"," to"
"581540","582100"," calm,"
"585240","585380"," to"
"585380","585600"," shift"
"585600","585820"," your"
"585820","586260"," focus"
"586260","586940"," towards"
"586940","587620"," your"
"587620","588340"," experience"
"588340","588560"," of"
"588560","588680"," the"
"588680","589000"," now"
"592740","593760"," at"
"593760","593980"," this"
"593980","594400"," moment"
"594400","594880"," and"
"594880","595040"," at"
"595040","595280"," this"
"595280","595860"," time."
"598520","599140"," Connecting"
"599140","599320"," with"
"599320","599880"," yourself"
"599880","600620"," and"
"603850","604130"," giving"
"604130","604510"," yourself"
"604510","604750"," the"
"604750","605330"," opportunity"
"605330","606690"," to"
"609030","609270"," just"
"609270","609530"," slow"
"609530","610170"," down,"
"611350","611990"," to"
"611990","612210"," spend"
"612210","612450"," some"
"612450","612750"," time"
"612750","612970"," with"
"612970","613310"," you,"
"616040","616380"," to"
"616380","616540"," be"
"616540","616920"," close"
"616920","617160"," with"
"617160","617820"," yourself,"
"622260","622420"," and"
"622420","622560"," to"
"622560","622780"," take"
"622780","622980"," the"
"622980","623280"," time"
"623280","623520"," to"
"623520","623860"," just"
"623860","624340"," notice"
"628120","628540"," how"
"628540","628740"," you"
"628740","629040"," are"
"629040","629200"," in"
"629200","629400"," this"
"629400","629820"," moment. "
"640280","640780"," In"
"640780","640940"," our"
"640940","641340"," previous"
"641340","642040"," session,"
"646310","646790"," we"
"646790","647390"," noticed"
"647390","648690"," that"
"648690","648810"," we"
"648810","648990"," have"
"648990","649130"," a"
"649130","649650"," relationship"
"649650","650030"," to"
"650030","650250"," the"
"650250","650690"," earth"
"650690","652490"," as"
"652490","652670"," it"
"652670","653110"," supports"
"653110","653590"," us"
"653590","654210"," and"
"654210","654370"," as"
"654370","654490"," it"
"654490","654710"," does"
"654710","654890"," in"
"654890","655090"," this"
"655090","655430"," moment"
"655430","655710"," as"
"655710","655990"," well."
"658300","658920"," We"
"658920","659260"," also"
"659260","659580"," took"
"659580","659840"," some"
"659840","660380"," time"
"660800","661220"," to"
"661220","661820"," notice"
"661820","663460"," this"
"663460","664140"," vitality"
"664140","664320"," of"
"664320","664460"," the"
"664460","664840"," breath"
"666600","667600"," and"
"667600","667800"," its"
"667800","668300"," connection"
"668300","668960"," to"
"668960","669400"," our"
"669400","669840"," plant"
"669840","670360"," friends."
"674990","675710"," Noticing"
"675710","676370"," how"
"677330","678150"," we're"
"678150","678290"," in"
"678290","678870"," relationship"
"678870","679250"," with"
"679250","679950"," trees"
"679950","681010"," and"
"683990","684250"," that"
"684250","684710"," when"
"684710","685070"," the"
"685070","685250"," sun"
"685250","685710"," shines,"
"687670","688370"," that"
"688370","688850"," sunlight"
"688850","690230"," helps"
"691990","692230"," the"
"692230","692630"," trees"
"692630","693230"," take"
"693230","693430"," the"
"693430","693690"," carbon"
"693690","694270"," dioxide"
"694270","694650"," that"
"694650","694810"," we"
"694810","695410"," exhale"
"695410","695990"," and"
"695990","696190"," share"
"696190","696430"," with"
"696430","696890"," them"
"698900","699600"," and"
"699600","700160"," transform"
"700160","700600"," that"
"700600","700880"," carbon"
"700880","701400"," dioxide"
"701400","702300"," into"
"702300","702920"," oxygen,"
"704000","704340"," the"
"704340","704700"," very"
"704700","705080"," same"
"705080","705560"," oxygen"
"705560","705980"," that"
"705980","706200"," we"
"706200","706760"," breathe. "
"716930","717310"," Just"
"717310","717650"," taking"
"717650","717810"," a"
"717810","718070"," moment"
"718070","718330"," to"
"718330","718750"," notice"
"718750","719030"," this"
"719030","719630"," relationship"
"719630","720330"," between"
"720330","722370"," your"
"722370","722850"," body"
"722850","723290"," and"
"723290","723470"," the"
"723470","723890"," nourishment"
"723890","724150"," that"
"724150","724290"," you"
"724290","724990"," receive"
"726390","726950"," in"
"726950","727090"," the"
"727090","727270"," form"
"727270","727450"," of"
"727450","727810"," breath"
"730020","731120"," and"
"731120","731320"," that"
"731320","732160"," reciprocity"
"732160","733500"," that"
"733500","733700"," we"
"733700","734280"," have"
"735720","736680"," with"
"736680","736940"," all"
"736940","737120"," the"
"737120","737500"," trees"
"737500","737840"," in"
"737840","737960"," the"
"737960","738320"," world."
"748280","748780"," Next,"
"748920","749100"," I'm"
"749100","749260"," going"
"749260","749480"," to"
"749480","749740"," invite"
"749740","749960"," you"
"749960","750220"," to"
"750220","750740"," imagine"
"750740","751700"," a"
"751700","751860"," bit"
"751860","751980"," of"
"751980","752160"," an"
"752160","752640"," adventure,"
"754810","754990"," an"
"754990","755350"," adventure"
"755350","755650"," we"
"755650","755830"," can"
"755830","756050"," go"
"756050","756290"," on"
"756290","756790"," together."
"762930","763250"," I"
"763250","763650"," invite"
"763650","764010"," you"
"764010","764290"," to"
"764290","764870"," imagine"
"764870","765670"," that"
"765670","765910"," you're"
"765910","766830"," strolling"
"766830","768030"," and"
"769600","769740"," you"
"769740","769980"," come"
"769980","770620"," upon"
"770620","772140"," a"
"772140","772540"," park"
"774240","775040"," or"
"775040","775220"," a"
"775220","775520"," meadow. "
"778280","778920"," This"
"778920","779160"," may"
"779160","779300"," be"
"779300","779500"," a"
"779500","779780"," park"
"779780","779960"," or"
"779960","780100"," a"
"780100","780300"," meadow"
"780300","780620"," that"
"780620","780820"," you're"
"780820","781200"," familiar"
"781200","781760"," with."
"783630","783890"," It"
"783890","784110"," may"
"784110","784350"," be"
"784350","784550"," an"
"784550","784990"," entirely"
"784990","785470"," new"
"785470","785970"," place."
"790620","791260"," Taking"
"791260","791500"," a"
"791500","791760"," moment"
"791760","792080"," to"
"792080","792560"," notice"
"792560","792760"," what"
"792760","793020"," it's"
"793020","793260"," like"
"793260","793500"," to"
"793500","793780"," cross"
"793780","794020"," this"
"794020","794440"," threshold"
"794440","795060"," from"
"795060","797140"," the"
"797140","797420"," busy"
"797420","798200"," world"
"798200","799220"," of"
"799220","799580"," humans"
"802940","804280"," into"
"804280","804920"," the"
"804920","805240"," world"
"805240","805680"," where"
"806540","806980"," there's"
"806980","807140"," a"
"807140","807280"," little"
"807280","807900"," more"
"807900","808680"," room"
"808680","809160"," for"
"809160","809520"," nature,"
"812970","813550"," a"
"813550","813670"," little"
"813670","813990"," more"
"813990","814670"," space"
"814670","816770"," for"
"816770","817290"," life. "
"822710","822930"," Giving"
"822930","823370"," yourself"
"823370","823850"," permission"
"823850","824410"," to"
"824410","824690"," cross"
"824690","824910"," this"
"824910","825450"," threshold"
"825450","825730"," and"
"825730","826150"," enter"
"826150","826830"," into"
"826830","827350"," this"
"827350","827570"," more"
"827570","827970"," natural"
"827970","828630"," space."
"832950","833710"," Just"
"833710","834170"," see"
"834170","834770"," where"
"834770","835850"," you"
"835850","836050"," feel"
"836050","836250"," like"
"836250","836770"," going"
"838720","839300"," perhaps"
"839300","839600"," you're"
"839600","840080"," drawn"
"840080","841140"," this"
"841140","841700"," way"
"841700","842000"," or"
"842000","842420"," that."
"846020","846360"," Giving"
"846360","846780"," yourself"
"846780","847260"," permission"
"847260","848160"," to"
"848160","848500"," make"
"848500","848800"," whatever"
"848800","849240"," choice"
"849240","849520"," feels"
"849520","849860"," right"
"849860","850100"," for"
"850100","850380"," you"
"850380","851360"," and"
"857400","857680"," as"
"857680","858020"," you"
"858020","858620"," continue"
"858620","858940"," to"
"858940","859300"," stroll"
"859300","859900"," through"
"859900","860100"," this"
"860100","860360"," open"
"860360","860960"," space,"
"866770","867170"," you"
"867170","867470"," notice"
"867470","867690"," a"
"867690","868050"," tree. "
"872980","873100"," You"
"873100","873240"," feel"
"873240","873660"," drawn"
"873660","873900"," to"
"873900","874140"," this"
"874140","874480"," tree"
"874480","875320"," so"
"875320","876380"," you"
"878270","878570"," gently"
"878570","878910"," make"
"878910","879070"," your"
"879070","879290"," way"
"879290","879770"," towards"
"879770","880090"," it."
"884860","885120"," This"
"885120","885380"," may"
"885380","885660"," be"
"885660","885900"," a"
"885900","886120"," tree"
"886120","886380"," that"
"886380","886640"," you've"
"886640","886860"," met"
"886860","887460"," before."
"889320","889920"," It"
"889920","890140"," may"
"890140","890440"," be"
"890440","890720"," an"
"890720","891140"," entirely"
"891140","891600"," new"
"891600","891900"," tree. "
"898340","898720"," Taking"
"898720","898960"," a"
"898960","899260"," moment"
"899260","899680"," here"
"899680","899940"," to"
"899940","900240"," notice"
"900240","900520"," the"
"900520","900840"," shape"
"900840","901040"," of"
"901040","901260"," this"
"901260","901560"," tree."
"905650","905910"," Do"
"905910","906050"," you"
"906050","906430"," notice"
"906430","906670"," if"
"906670","906870"," it's"
"906870","907130"," more"
"907130","907930"," tall"
"907930","909290"," than"
"909290","909790"," wide"
"909790","910830"," or"
"912590","912890"," more"
"912890","913550"," wide"
"913550","913810"," than"
"913810","914230"," tall?"
"921380","921640"," It's"
"921640","922100"," noticing"
"923700","924300"," the"
"924300","924740"," energy"
"924740","925040"," of"
"925040","925260"," this"
"925260","925740"," tree"
"925740","926780"," and"
"926780","926960"," how"
"926960","927160"," it"
"927160","927420"," takes"
"927420","927960"," space."
"931760","931960"," How"
"931960","932380"," comfortable"
"932380","932680"," it"
"932680","933060"," seems"
"933060","933340"," where"
"933340","933540"," it"
"933540","933840"," is. "
"939310","939930"," Noticing"
"939930","940490"," how"
"940490","940730"," its"
"940730","941150"," pace"
"941150","941490"," seems"
"941490","941690"," to"
"941690","942110"," be"
"943810","944770"," at"
"944770","944890"," a"
"944890","945170"," really"
"945170","945870"," gentle,"
"946810","947310"," patient"
"947310","947770"," time"
"947770","948190"," scale."
"954300","954960"," As"
"954960","955100"," you"
"955100","955360"," take"
"955360","955520"," in"
"955520","955660"," the"
"955660","956000"," tree"
"957620","958300"," you"
"958300","958800"," notice"
"958800","960240"," off"
"960240","960360"," to"
"960360","960560"," the"
"960560","960900"," side"
"960900","961140"," that"
"961140","961380"," there's"
"961380","961480"," a"
"961480","961740"," picnic"
"961740","962200"," table."
"967220","967560"," It"
"967560","967880"," seems"
"967880","968100"," as"
"968100","968420"," if"
"968420","968900"," something"
"968900","969120"," has"
"969120","969320"," been"
"969320","969700"," left"
"969700","970220"," on"
"970220","970400"," this"
"970400","970660"," picnic"
"970660","971080"," table. "
"976960","977580"," Following"
"977580","977900"," your"
"977900","978580"," curiosity,"
"980060","980940"," making"
"980940","981220"," your"
"981220","981420"," way"
"981420","981660"," over"
"981660","981880"," to"
"981880","982040"," the"
"982040","982260"," picnic"
"982260","982780"," table,"
"984990","985670"," noticing"
"985670","987750"," that"
"987750","988210"," there"
"988210","988710"," seems"
"988710","988930"," to"
"988930","989330"," be"
"989330","989770"," some"
"989770","990110"," objects"
"990110","990350"," on"
"990350","990530"," this"
"990530","990850"," table."
"995500","996060"," There"
"996060","996220"," is"
"996220","996380"," a"
"996380","996840"," box"
"996840","998140"," of"
"998140","998420"," colored"
"998420","999260"," crayons"
"999260","999540"," with"
"999540","999900"," so"
"999900","1000260"," many"
"1000260","1000780"," choices"
"1000780","1002040"," of"
"1002040","1002520"," colors."
"1005830","1006410"," There's"
"1006410","1006550"," a"
"1006550","1006710"," little"
"1006710","1007290"," stack"
"1008070","1008670"," of"
"1008670","1009150"," nice"
"1009150","1009550"," art"
"1009550","1010030"," paper. "
"1019130","1019770"," There's"
"1019770","1019890"," a"
"1019890","1020150"," nice"
"1020150","1020890"," bag"
"1020890","1021690"," that's"
"1021690","1022070"," perfect"
"1022070","1022370"," in"
"1022370","1022790"," size"
"1022790","1023089"," to"
"1023089","1023470"," carry"
"1024980","1026119"," these"
"1026119","1026579"," supplies"
"1026579","1027160"," around."
"1030710","1031109"," And"
"1031109","1031329"," there's"
"1031329","1031470"," a"
"1031470","1031670"," little"
"1031670","1032230"," note"
"1032230","1032990"," left"
"1032990","1033230"," on"
"1033230","1033609"," top"
"1033609","1033790"," of"
"1033790","1033930"," the"
"1033930","1034390"," paper"
"1034390","1036010"," near"
"1036010","1036190"," the"
"1036190","1036890"," crayons."
"1038270","1039069"," And"
"1039069","1039250"," the"
"1039250","1039490"," note"
"1039490","1039829"," just"
"1039829","1040349"," says,"
"1040650","1041369"," enjoy. "
"1047770","1048570"," Noticing"
"1048570","1048910"," that"
"1048910","1049170"," you've"
